Grant,Expense Type,Status,Guidance
All,Field Trips,Conditional,"Must be part of teacher's lesson plan and support instructional objectives. Cost must be reasonable and documented. Not for social, entertainment, or recreational purposes. Not for amusement parks, theme parks, or arcades"
All,Food & Beverages - Professional Development,Conditional,"Working lunches allowable only if: (1) time constraint requires it (e.g., long distance travel prevents separate meal), (2) agenda portion during lunch is substantive and integral to meeting, (3) cost is reasonable, (4) documented as necessary. Meals otherwise should be separate from meeting time"
All,Food & Beverages - Parent/Family Engagement Events,Conditional,Light refreshments allowed to encourage participation. Full meals not allowed unless grant specifically authorizes. Must be necessary to accomplish grant objectives
All,Food & Beverages - Meetings & Conferences,Conditional,"If meals are provided during meetings, must meet same standard as PD: documented necessity, time constraint, substantive agenda during meal time, reasonable cost"
All,Gifts & Promotional Items,Not Allowable,"No gift cards, T-shirts, tote bags, promotional mugs, imprinted pens, or items that appear to be gifts to staff or participants"
All,Door Prizes & Entertainment Items,Not Allowable,"Movie tickets, gift certificates, passes to amusement parks, theme parks, or arcades"
All,Ceremonies & Celebrations,Not Allowable,"Banquets, service awards, employee recognition ceremonies, or similar celebrations"
All,Cleaning & Sanitizing Supplies,Not Allowable,Personal hygiene items and sanitation supplies are not allowable
All,Construction & Renovation,Not Allowable,"Construction, remodeling, repair, or renovation of school facilities"
All,Vehicles & Transportation Equipment,Not Allowable,Purchase of buses or actual vehicles (unless Title I-C Migrant transportation specifically authorizes)
All,Personal Use Items,Not Allowable,"Luggage, coffee cups, office décor, personal calendars, any items for personal use even if for business travel"
All,Alcoholic Beverages,Not Allowable,
All,Conflict of Interest Purchases,Not Allowable,"Any purchase that poses a conflict of interest, real or perceived"
All,Airline Upgrades,Not Allowable,Premium cabin seating
All,TSA Pre-Check,Not Allowable,Convenience travel fees
All,Hotel Incidental Costs (Personal),Not Allowable,"Room service, movies, personal items at hotel"
All,Long Distance Personal Phone Calls,Not Allowable,
All,Travel & Rental Car Insurance,Not Allowable,
All,Land Purchase,Not Allowable,Land purchase and improvements to land
All,Memberships - Civic/Lobbying,Not Allowable,"Memberships in civic, social, or lobbying organizations"
All,Fundraising Costs,Not Allowable,"Costs of organized fundraising activities, solicitation of gifts, banquets associated with fundraising"
All,Gratuities & Tips,Not Allowable,
All,Parking Tickets,Not Allowable,
All,Early-Bird Hotel Check-In Fees,Not Allowable,Convenience fees not essential to meeting attendance
All,Interest Paid,Not Allowable,Interest charges cannot be charged retroactively to current grant period
All,Professional Liability Insurance (Individual),Not Allowable,Individual professional liability insurance
All,Professional Licenses (Individual),Not Allowable,"Individual professional licenses (CPA, SLP, RN, etc.)"
All,Unallowable Content Distribution,Not Allowable,"Develop, distribute, or operate materials/programs/instruction directed at youth that promote activities prohibited by law. No legally obscene materials to minors. No sex education unless age appropriate. No contraceptive distribution programs. No curriculum endorsing non-mainstream science"
Title I-A,Program Administrator/Grant Manager/Coordinator,Conditional,"Title I portion of salary only. If split duties with non-Title I responsibilities, allocate proportionately. Entire salary allowable only if 100% Title I responsibility"
Title I-A,Data Coordinator,Allowable,
Title I-A,Homeless Liaison,Allowable,
Title I-A,Title I Teacher - Reading or Math Specialist,Allowable,For staff assigned primarily to support Title I students
Title I-A,Instructional Coach,Allowable,Coaching focused on improving instruction for Title I students
Title I-A,Preschool/Early Childhood Education Staff,Allowable,
Title I-A,Summer/Before-After School/Tutoring Staff,Allowable,
Title I-A,Teacher Time - Non-Title I School,Not Allowable,Cannot pay Title I teachers for work in non-Title I schools or with non-Title I students
Title I-A,Substitute Teachers,,Title I is supplemental; cannot pay substitutes for all teachers. Substitutes only if specified in school plan
Title I-A,Instructional Paraprofessional - Title I,Allowable,
Title I-A,Paraprofessional - Non-Title I Students,Not Allowable,Cannot pay for work with non-Title I students
Title I-A,Parent & Family Engagement Liaison,Allowable,
Title I-A,"Benefits (Insurance, PERSI, etc.)",Allowable,Fringe benefits for allowable Title I staff
Title I-A,Tuition Fees for Employees,Allowable,Professional development tuition
Title I-A,Volunteer Contribution Accounts,Not Allowable,
Title I-A,Stipends - Program Administration,Allowable,
Title I-A,Stipends - Professional Development,Allowable,
Title I-A,Stipends - Data & Improvement Planning,Allowable,
Title I-A,Stipends - Parent & Family Engagement,Allowable,
Title I-A,Stipends - Already Compensated Work,Not Allowable,Cannot pay stipends for work already part of regular contractual duties
Title I-A,Benefits for Stipends,Conditional,Limited to FICA and PERSI. Benefits covered through regular contract cannot be double-funded
Title I-A,Professional Development - Presenter/Trainer,Allowable,Cost of on-site presenter or trainer
Title I-A,Professional Development - Conference Registration,Allowable,Conference fees for staff
Title I-A,Professional Development - Training Materials,Allowable,"Books, materials, online courses"
Title I-A,Professional Development - Accreditation Fees,Not Allowable,Accreditation is state requirement; cannot be funded with Title I
Title I-A,Professional Development - Assessment Fees (State-Required),Not Allowable,State-mandated assessment fees are not allowable
Title I-A,Professional Development - Background/Fingerprint Fees,Not Allowable,
Title I-A,Curriculum Supplies,Not Allowable,Regular core classroom supplies for students are not allowable
Title I-A,Books & Instructional Materials,Allowable,For Title I students
